# latent_filename	original_filename	quality_rank
53407309d3c55d9deac1d65734ebdff56885d90b50f9611ac401f2f0728a0f8a_latent.pt	00004736.jpg	149
1a5e9710f3a4085744d4dec904043e4ebcd8a8c85018e4e157980f4ef61a4bcd_latent.pt	00003159.jpg	150
031a878cda5e78eabe07257d157d0a78217bdfd9f94c36985744b1ce740ce5c4_latent.pt	00001125.jpg	151
f8642ff430ccaae479dbb7fef7c17d96889de4cd1b48e6b10216ad67df735726_latent.pt	00004839.jpg	153
97e48f521b705372445514925ca73e743bdb5cf79aacb38f02f0771d1fa27035_latent.pt	00003226.jpg	154
a247fa5f5f5f243a6b3c044cf8d8b8029a41de71dfcd25cbab05ac8298f75247_latent.pt	00000680.jpg	155
72405579c87d71e10e1dc6d309b3ace4beda3a1003d1500d2c342f58ed1dffef_latent.pt	00002301.jpg	156
2a3afaf04587c474ba88e230a02c006c3fe35f53c62e0bf19b20eefc6a8ef93e_latent.pt	00000325.jpg	157
9321b267ce31efb7898afa23ee50b1bd7dae8b6efef8f36200e812292965d47d_latent.pt	00000271.jpg	158
24450be3bad083b86dcc5e43ada1f05baaaad259960d889b40fced7434235eda_latent.pt	00003204.jpg	159
4d1c59b9b242bb7238ae4c0f9a54930aafa9d737e7dfda7a607562ec7dd61a50_latent.pt	00003826.jpg	161
ab1ba28266ea7aad7cbabe8c082b205976d02bada1572689132707416833d2a8_latent.pt	00002939.jpg	162
ee8fe22af384dd76ac6ccd796a2feda92a9083f6c218065f3a5b8a7c0baed632_latent.pt	00001338.jpg	163
a7e0dc54d2467db19bb0412fe44cda3a44e5c92e9653a2e538e92a2f2b7ae3ae_latent.pt	00000829.jpg	164
85a3fa7ab2e6dc4bcc036ed8bfd8fb89c9e1b59046ef23f9926d1ddcd308733a_latent.pt	00001887.jpg	166
6093f88a5e6835f44c1ba6cf1583dd8421b4ecedf98aed43d377b5d744787ca3_latent.pt	00000160.jpg	167
8cd28e7ec1189120b9220fd211a8616b4c4ccee5d89ba43957b019117aa8bfde_latent.pt	00001163.jpg	169
2d1b15ea2500b620d28d96a33fd8bfa8281196f2935901d19258868abfe278be_latent.pt	00001059.jpg	170
76a8a3d85dcd8090ae027ebc202b10216d26a37c65dcb239a91851c76ff67011_latent.pt	00002399.jpg	171
b6056735063bd2d3edf66c5a9c4d1dff93be36e1706564de8cfe03cb002bcd62_latent.pt	00004624.jpg	172
ae54e7dbd750250d2e2dbcaaae6d65407b66cc300a34873bcd15c658374fba7c_latent.pt	00001513.jpg	173
f40fb2c304d874f1e8c98d04b41282ead0c84b75f2f0785d5f1cadd05cbdd0c0_latent.pt	00002552.jpg	174
6336683a6a7fbe071a0445595e0390fbb7693bc814286bf93b2a60a6dcba2fca_latent.pt	00001473.jpg	175
7c91f0e555330dd139e15de3d0b4de2eb1b57e75a3d6f8c854e1bdce08cd54a5_latent.pt	00003139.jpg	176
