stem,status,shape_match,original_path,reconstruction_path,original_shape,reconstruction_shape,mse,rmse,mae,max_abs_diff,p95_abs_diff,psnr_db,ssim,pixel_equal_ratio
Places365_val_00000452,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000452.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000452_recon.png,256x256x3,256x256x3,479.1981506347656,21.89059502696913,15.771565437316895,177.0,46.0,21.32565227552319,0.9575640249131071,4.57763671875e-05
Places365_val_00000453,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000453.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000453_recon.png,256x256x3,256x256x3,520.1420288085938,22.80662247700421,16.150671005249023,141.0,48.0,20.969584135683835,0.9651834859822953,0.0050811767578125
Places365_val_00000454,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000454.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000454_recon.png,256x256x3,256x256x3,481.8184509277344,21.95036334386596,15.007858276367188,200.0,46.0,21.301969338592382,0.9380648191210171,6.103515625e-05
Places365_val_00000455,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000455.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000455_recon.png,256x256x3,256x256x3,346.6996154785156,18.619871521536222,13.373011589050293,124.0,40.0,22.731270008834244,0.930906855378225,9.1552734375e-05
Places365_val_00000456,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000456.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000456_recon.png,256x256x3,256x256x3,561.1148071289062,23.687862021062735,16.662109375,179.0,51.0,20.640286315165696,0.937988706722125,0.0002288818359375
Places365_val_00000457,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000457.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000457_recon.png,256x256x3,256x256x3,334.6593933105469,18.293698185729063,11.757267951965332,167.0,39.0,22.884773414620977,0.9401732832895752,0.0001678466796875
Places365_val_00000458,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000458.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000458_recon.png,256x256x3,256x256x3,191.343994140625,13.832714633817362,9.438822746276855,157.0,28.0,25.31265525624454,0.9808377617435087,9.1552734375e-05
Places365_val_00000459,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000459.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000459_recon.png,256x256x3,256x256x3,819.1338500976562,28.620514497430968,20.9342098236084,175.0,60.0,18.997254876677157,0.9128489721876587,4.57763671875e-05
Places365_val_00000460,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000460.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000460_recon.png,256x256x3,256x256x3,90.3816146850586,9.506924565024097,6.807103633880615,108.0,19.0,28.57000265048353,0.9874974695697336,7.62939453125e-05
Places365_val_00000461,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000461.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000461_recon.png,256x256x3,256x256x3,150.1593780517578,12.253953568206377,9.927688598632812,75.0,23.0,26.36527900064217,0.976311205090477,3.0517578125e-05
